Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
08/03/2020,Cau Giay,Trung Hoa,Alley house,Yes,5,6,11,35,10.00,3.50,117.14,4099.9
08/03/2020,Nam Tu Liem,Trung Van,Alley house,Yes,1,1,5,45,9.00,5.00,71.11,3199.95
08/03/2020,Ha Dong,Van Quan,Alley house,Yes,5,3,7,40,10.96,3.65,71.25,2850
08/03/2020,Ba Dinh,Vinh Phuc,Alley house,Yes,5,3,7,39,10.40,3.75,76.92,2999.88
08/03/2020,Ba Dinh,Vinh Phuc,Alley house,Yes,4,4,8,40,11.43,3.50,75,3000
08/03/2020,Hai Ba Trung,Vinh Tuy,Alley house,No,3,4,8,68,10.46,6.50,100,6800
08/03/2020,Tay Ho,Xuan La,Alley house,Yes,5,3,7,30,10.00,3.00,158.33,4749.9
08/03/2020,Ha Dong,Yet Kieu,Townhouse,Yes,9,9,19,52,10.40,5.00,125,6500
08/04/2020,Hai Ba Trung,Bach Khoa,Alley house,Yes,3,3,7,45,9.00,5.00,51.11,2299.95
08/04/2020,Hai Ba Trung,Cau Den,Alley house,Yes,5,4,8,45,9.00,5.00,128.89,5800.05
