Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
07/29/2020,9,Le Dai Hanh,2,Yes,7,5,13,70.0,10.77,6.5,214.29,15000.3
07/29/2020,4,Lieu Giai,1,Yes,4,4,8,35.0,10.0,3.5,85.71,2999.85
07/29/2020,11,Linh Nam,1,Yes,4,6,11,40.0,11.43,3.5,62.5,2500.0
07/29/2020,11,Linh Nam,1,Yes,3,4,8,80.0,10.36,7.72,47.5,3800.0
07/29/2020,12,Long Bien,1,Yes,3,3,7,64.0,9.85,6.5,60.16,3850.24
07/29/2020,6,Mai Dich,2,Yes,5,3,9,56.0,8.62,6.5,81.25,4550.0
07/29/2020,9,Minh Khai,2,Yes,5,3,9,33.0,9.94,3.32,130.3,4299.9
07/29/2020,9,Minh Khai,1,Yes,5,4,8,40.0,11.43,3.5,150.0,6000.0
07/29/2020,9,Minh Khai,1,No,5,4,8,67.0,10.31,6.5,41.79,2799.93
07/29/2020,9,Minh Khai,1,Yes,4,4,8,67.0,10.31,6.5,41.79,2799.93
07/29/2020,9,Minh Khai,2,Yes,3,3,7,67.0,10.31,6.5,41.79,2799.93
07/29/2020,13,My Dinh 1,2,Yes,5,4,10,35.0,10.0,3.5,85.71,2999.85
07/29/2020,13,My Dinh 1,1,Yes,5,6,11,40.0,11.59,3.45,90.0,3600.0
07/29/2020,6,Nghia Do,1,No,5,6,11,52.0,10.0,5.2,74.04,3850.08
07/29/2020,4,Ngoc Ha,2,Yes,6,2,9,52.0,10.4,5.0,157.69,8199.88
07/29/2020,3,Ngoc Hoi,1,No,4,3,7,30.0,7.5,4.0,53.33,1599.9
07/29/2020,12,Ngoc Thuy,2,Yes,5,4,10,48.0,9.6,5.0,85.42,4100.16
07/29/2020,12,Ngoc Thuy,1,Yes,4,4,8,55.0,11.0,5.0,69.09,3799.95
07/29/2020,15,Nhan Chinh,1,Yes,5,4,8,45.0,8.33,5.4,108.89,4900.05
07/29/2020,14,Nhat Tan,2,Yes,4,4,9,40.0,11.43,3.5,80.0,3200.0
07/29/2020,8,Phu La,3,Yes,4,6,12,126.0,12.45,10.12,73.25,9229.5
07/29/2020,14,Phu Thuong,2,Yes,4,3,8,35.0,10.0,3.5,88.57,3099.95
07/29/2020,12,Phuc Dong,1,Yes,5,4,8,36.0,10.29,3.5,88.89,3200.04
07/29/2020,8,Phuc La,1,Yes,5,4,8,38.0,10.03,3.79,96.05,3649.9
07/29/2020,10,Phuc Tan,1,No,3,3,7,20.0,4.76,4.2,49.95,999.0
07/29/2020,15,Phuong Liet,1,Yes,4,6,11,42.0,8.09,5.19,100.0,4200.0
07/29/2020,6,Quan Hoa,1,Yes,4,4,8,32.0,9.14,3.5,101.56,3249.92
07/29/2020,6,Quan Hoa,1,Yes,6,5,10,40.0,11.43,3.5,145.0,5800.0
07/29/2020,4,Quan Thanh,1,Yes,5,3,7,32.0,9.14,3.5,140.63,4500.16
07/29/2020,14,Quang An,2,Yes,2,4,7,68.0,10.46,6.5,485.29,32999.72
07/29/2020,8,Quang Trung,3,Yes,5,4,9,44.2,8.19,5.4,129.55,5726.11
